tvec_x;tvec_y;tvec_z;rvec_x;rvec_y;rvec_z
<<<<<<< HEAD
0.115311;0.0416234;-0.38088;-0.0720965;-0.181302;3.12527
0.115278;0.0406828;-0.385376;-0.0564561;-0.159035;3.12198
0.11502;0.0403897;-0.388211;-0.0571091;-0.158595;3.11715
0.114721;0.0401236;-0.392102;-0.0818759;-0.131585;3.11753
0.114551;0.0400322;-0.396027;-0.0352645;-0.166805;3.11599
0.113783;0.040647;-0.402033;-0.0387764;-0.101366;3.11936
0.1136;0.0417015;-0.40618;-0.0262588;-0.138623;3.11629
0.11336;0.0415779;-0.406629;-0.0504667;-0.153127;3.10883
0.112252;0.042336;-0.412756;-0.0418326;-0.185039;3.11167
0.111504;0.0428364;-0.419297;-0.038739;-0.164394;3.1117
0.110853;0.043772;-0.427009;-0.03677;-0.143958;3.11422
0.109768;0.0441997;-0.432494;-0.0536213;-0.180085;3.11224
0.109463;0.0449761;-0.44237;-0.058095;-0.125588;3.1151
0.108983;0.0469315;-0.454869;-0.0225709;-0.11733;3.1149
0.107937;0.046956;-0.456894;-0.0619628;-0.184044;3.10596
0.10591;0.0490406;-0.46752;-0.108261;-0.166236;3.10628
0.105247;0.0514908;-0.478262;-0.0386153;-0.195483;3.10664
0.102979;0.0526343;-0.486697;-0.115883;-0.13834;3.0989
0.101816;0.0529931;-0.496005;-0.0714916;-0.220328;3.09517
0.100291;0.0548698;-0.509514;-0.0923784;-0.137901;3.09232
0.0967234;0.0554889;-0.513907;-0.116343;-0.188882;3.09057
0.0943895;0.0556347;-0.529739;-0.080292;-0.149956;3.09585
0.0920422;0.0558635;-0.539395;-0.100547;-0.171904;3.08926
=======
-10.9583;-3.95777;36.1374;32.836;15.7082;-0.20342
11.1732;3.98645;-37.1577;-2.58075;-89.6577;-297.007
-10.9834;-3.84423;37.5483;34.7737;15.6753;-2.28536
-11.3775;-4.059;37.9773;6.60483;-22.0749;-1.72135
-11.4691;-4.02739;39.407;2.52244;-9.16007;-4.07975
11.4583;4.07893;-40.2878;-17.933;12.6006;309.916
