Error tvec,Error rvec
-0.232635,0.226288
-0.083169,0.097658
0.7671,-3.13089

-0.231223,0.294108
-0.0817611,-0.141649
0.775425,-3.12346

0.000213858,0.0562502
0.000350964,-0.00698032
-0.00133889,-0.00787147

-0.000165472,0.00630862
0.000214451,0.00410788
0.00106307,-0.00132394

-0.22895,0.136787
-0.0801491,0.136179
0.792404,-3.13953

-0.000638858,-0.00754389
0.000182923,0.055747
0.00626011,0.000453658

-0.00107231,0.00272249
0.000299738,0.0231511
0.00540074,-0.00435716

-0.000997726,-0.168375
2.46142e-05,-0.0868293
0.00735758,-0.00885985

-0.224084,0.178035
-0.0846348,0.259253
0.820519,-3.13457

-0.224002,0.227907
-0.0863463,0.045836
0.839327,-3.14474

-0.221707,0.0165613
-0.0864163,0.0519417
0.865835,-3.1348

-0.000116256,0.0231397
0.000292236,0.0363952
0.00721083,-0.000703136

-0.218308,0.211942
-0.0909572,0.0578598
0.882706,-3.13846

